comm_no,strategy,contract,lot
ag,cpv0_shag_day,ag2006,5
al,chg3_shal_day,al2002,12
al,chg4_shal_day,al2002,6
al,chg6_shal_day,al2002,6
al,rpv4_shal_day,al2002,9
al,rpv5_shal_day,al2002,19
cu,chg1_shcu_day,cu2002,1
fu,chg1_shfu_day,fu2005,5
hc,chg1_shhc_day,hc2005,2
ni,chg4_shni_day,ni2003,2
pb,chg2_shpb_day,pb2002,1
rb,chg3_shrb_day,rb2005,31
rb,chg4_shrb_day,rb2005,2
rb,rpv4_shrb_day,rb2005,15
ag,hv8_shag_day,ag2006,3
ag,tst2_shag_day,ag2006,1
al,hv7_shal_day,al2002,2
al,xpv0_shal_day,al2002,5
fu,hv7_shfu_day,fu2005,2
fu,hv8_shfu_day,fu2005,3
hc,hv7_shhc_day,hc2005,2
hc,hv8_shhc_day,hc2005,2
hc,xpv1_shhc_day,hc2005,5
hc,xpv2_shhc_day,hc2005,20
rb,tst5_shrb_day,rb2005,10
rb,xpv0_shrb_day,rb2005,6
rb,xpv3_shrb_day,rb2005,26
rb,xpv4_shrb_day,rb2005,3
rb,xpv8_shrb_day,rb2005,5
ru,hv8_shru_day,ru2005,3
zn,hv7_shzn_day,zn2002,1
