comm,strategy,contract,lot
shfu,st301a_fu_night,fu1905,5
shrb,st301a_rb_night,rb1905,10
shsp,st301a_sp_night,sp1906,5
shfu,st303a_fu_night,fu1905,5
shrb,st303a_rb_night,rb1905,10
shsp,st303a_sp_night,sp1906,5
shrb,st309a_rb_night,rb1905,10
shsp,st309a_sp_night,sp1906,5
fu,cpv2_shfu_night,fu1905,5
fu,tpv9_shfu_night,fu1905,5
hc,chg5_shhc_night,hc1905,1
pb,tpv3_shpb_night,pb1901,1
rb,chg5_shrb_night,rb1905,5
rb,cpv6_shrb_night,rb1905,7
rb,cpv7_shrb_night,rb1905,25
rb,tpv6_shrb_night,rb1905,7
ru,chg1_shru_night,ru1905,1
sp,chg2_shsp_night,sp1906,6
sp,chg3_shsp_night,sp1906,12
al,tst1_shal_night,al1902,1
cu,hv3_shcu_night,cu1902,4
hc,hv3_shhc_night,hc1905,1
rb,xpv6_shrb_night,rb1905,10
rb,xpv9_shrb_night,rb1905,15
ru,tst0_shru_night,ru1905,1
sp,tst5_shsp_night,sp1906,3
sp,tst8_shsp_night,sp1906,18
al,mpv2_shal_night,al1902,3
fu,mpv0_shfu_night,fu1905,5
rb,ipv7_shrb_night,rb1905,10
rb,ipv9_shrb_night,rb1905,10
rb,mpv6_shrb_night,rb1905,10
rb,mpv7_shrb_night,rb1905,10
sc,chg3_shsc_night,sc1901,1
sc,cpv4_shsc_night,sc1901,1
sc,ipv0_shsc_night,sc1901,1
sc,ipv3_shsc_night,sc1901,1
sc,mpv3_shsc_night,sc1901,1
sc,xpv3_shsc_night,sc1901,1
